Stn Code,Sampling Date,Month,Year,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM,Location of Monitoring Station,PM 2.5
29,10/3/1987,3,1987,Kerala,Cochin,Kerala Pollution Control Board,Industrial,,2.9,,,,
30,4/5/1988,5,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,79,,
31,4/5/1988,5,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,88,,
32,4/5/1988,5,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,98,,
33,4/5/1988,5,1988,Kerala,Cochin,Kerala Pollution Control Board,,,,,88,,
29,4/5/1988,5,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,113,,
30,5/2/1988,2,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,74,,
31,5/9/1988,9,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,76,,
32,5/2/1988,2,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,125,,
33,5/2/1988,2,1988,Kerala,Cochin,Kerala Pollution Control Board,,,,,151,,
29,5/2/1988,2,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,114,,
30,6/2/1988,6,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,91,,
31,6/2/1988,6,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,89,,
32,6/4/1988,6,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,78,,
33,6/2/1988,6,1988,Kerala,Cochin,Kerala Pollution Control Board,,,,,131,,
29,6/2/1988,6,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,106,,
30,7/6/1988,7,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,70,,
31,7/6/1988,7,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,79,,
32,7/6/1988,7,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,85,,
33,7/6/1988,7,1988,Kerala,Cochin,Kerala Pollution Control Board,,,,,78,,
29,7/6/1988,7,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,133,,
30,8/5/1988,8,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,65,,
31,8/5/1988,8,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,68,,
32,8/5/1988,8,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,96,,
33,8/5/1988,8,1988,Kerala,Cochin,Kerala Pollution Control Board,,,,,72,,
29,8/5/1988,8,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,59,,
29,9/10/1988,9,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,99,,
30,9/5/1988,9,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,73,,
31,9/5/1988,9,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,116,,
32,9/5/1988,9,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,100,,
33,9/5/1988,9,1988,Kerala,Cochin,Kerala Pollution Control Board,,,,,67,,
30,10/6/1988,10,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,98,,
31,10/6/1988,10,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,158,,
32,10/6/1988,10,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,103,,
33,10/6/1988,10,1988,Kerala,Cochin,Kerala Pollution Control Board,,,,,88,,
29,10/6/1988,10,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,87,,
31,11/3/1988,11,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,104,,
30,11/3/1988,11,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.6,11.1,,70,,
33,11/3/1988,11,1988,Kerala,Cochin,Kerala Pollution Control Board,,4.2,23.5,,126,,
29,11/3/1988,11,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.3,24,,154,,
32,11/3/1988,11,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.8,9.5,,93,,
31,12/7/1988,12,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,127,,
30,12/2/1988,12,1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.2,18.6,,94,,
33,12/2/1988,12,1988,Kerala,Cochin,Kerala Pollution Control Board,,5.9,27.8,,124,,
32,M011989,1,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.5,19,,139,,
33,M011989,1,1989,Kerala,Cochin,Kerala Pollution Control Board,,6.7,32.8,,126,,
29,M011989,1,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.3,26.3,,147,,
30,M011989,1,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.2,31.1,,122,,
31,M011989,1,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,142,,
32,M021989,2,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.1,26.5,,153,,
33,M021989,2,1989,Kerala,Cochin,Kerala Pollution Control Board,,7.8,27.9,,157,,
29,M021989,2,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,8,55.2,,128,,
30,M021989,2,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.1,31.6,,129,,
31,M021989,2,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,138,,
32,M031989,3,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,7.2,46.5,,111,,
33,M031989,3,1989,Kerala,Cochin,Kerala Pollution Control Board,,4.5,19.1,,105,,
29,M031989,3,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,10.6,16.6,,93,,
30,M031989,3,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.7,21.5,,93,,
31,M031989,3,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.5,14.8,,92,,
105,M041989,4,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.1,32.1,,172,,
31,M041989,4,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.4,57,,92,,
32,M041989,4,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.7,51.1,,84,,
33,M041989,4,1989,Kerala,Cochin,Kerala Pollution Control Board,,2.7,31.9,,172,,
29,M041989,4,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,14.4,26.5,,105,,
30,M041989,4,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.1,26,,79,,
105,M051989,5,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.7,19.4,,334,,
31,M051989,5,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.2,21.4,,69,,
32,M051989,5,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.1,22.5,,90,,
29,M051989,5,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,13.3,19.7,,122,,
30,M051989,5,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.8,17.3,,107,,
105,M061989,6,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.7,9.9,,103,,
31,M061989,6,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.9,9.2,,91,,
32,M061989,6,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.8,10.6,,94,,
29,M061989,6,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,8.6,30.8,,83,,
30,M061989,6,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.1,9.8,,79,,
105,M071989,7,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.5,5.5,,148,,
31,M071989,7,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.3,16,,104,,
32,M071989,7,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.1,11.8,,72,,
29,M071989,7,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.5,23.8,,104,,
30,M071989,7,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.8,7,,78,,
105,M081989,8,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.4,13,,136,,
32,M081989,8,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.3,3,,71,,
31,M081989,8,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.2,17.3,,79,,
30,M081989,8,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.1,18.5,,93,,
29,M081989,8,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,23.6,29.8,,113,,
105,M091989,9,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.2,2.8,,157,,
32,M091989,9,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.4,3.5,,115,,
31,M091989,9,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2,11.6,,192,,
30,M091989,9,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.5,10.4,,172,,
29,M091989,9,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,8.7,23.1,,122,,
32,M121989,12,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.9,6,,200,,
31,M121989,12,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.4,7.3,,112,,
30,M121989,12,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.3,15.3,,162,,
29,M121989,12,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.9,10.4,,182,,
32,M121989,12,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.9,6,,200,,
31,M121989,12,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.4,7.3,,112,,
30,M121989,12,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.3,15.3,,162,,
29,M121989,12,1989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.9,10.4,,182,,
105,January - M011990,1,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.9,14.3,,271,,
32,January - M011990,1,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.3,10.3,,182,,
31,January - M011990,1,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.5,24.4,,123,,
30,January - M011990,1,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.6,15.5,,84,,
29,January - M011990,1,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.4,17,,165,,
147,January - M011990,1,1990,Kerala,Cochin,,"Residential, Rural and other Areas",8.3,11.6,,,,
148,January - M011990,1,1990,Kerala,Cochin,,"Residential, Rural and other Areas",7.7,7.8,,104,,
149,January - M011990,1,1990,Kerala,Cochin,,Industrial Area,9.8,6.4,,91,,
147,February - M021990,2,1990,Kerala,Cochin,,"Residential, Rural and other Areas",9.9,5.3,,,,
148,February - M021990,2,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.8,4.2,,,,
149,February - M021990,2,1990,Kerala,Cochin,,Industrial Area,8.4,6,,142,,
30,February - M021990,2,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.9,19.6,,131,,
29,February - M021990,2,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4,20.6,,119,,
31,February - M021990,2,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,7.4,34.8,,125,,
32,February - M021990,2,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.9,12.1,,156,,
105,February - M021990,2,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.7,19.1,,200,,
147,March - M031990,3,1990,Kerala,Cochin,,"Residential, Rural and other Areas",7,10,,,,
148,March - M031990,3,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.7,6,,,,
149,March - M031990,3,1990,Kerala,Cochin,,Industrial Area,7.9,9.9,,115,,
30,March - M031990,3,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.7,9,,99,,
29,March - M031990,3,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,16.2,13.9,,109,,
31,March - M031990,3,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.2,70,,209,,
32,March - M031990,3,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.2,5.7,,126,,
105,March - M031990,3,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.8,23.4,,204,,
147,April - M041990,4,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6,7.1,,,,
148,April - M041990,4,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6,3.8,,,,
149,April - M041990,4,1990,Kerala,Cochin,,Industrial Area,6,6.7,,114,,
30,April - M041990,4,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.1,8.5,,131,,
29,April - M041990,4,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,25.5,9.8,,189,,
31,April - M041990,4,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.6,97.1,,362,,
32,April - M041990,4,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.5,5,,100,,
105,April - M041990,4,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,8.5,10.3,,233,,
29,May - M051990,5,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,9.2,11.5,,192,,
30,May - M051990,5,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3,12.5,,108,,
31,May - M051990,5,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,8.9,16.8,,164,,
32,May - M051990,5,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.4,4.1,,108,,
105,May - M051990,5,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,9.3,10.4,,206,,
147,May - M051990,5,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.7,8.6,,,,
148,May - M051990,5,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6,3.5,,,,
149,May - M051990,5,1990,Kerala,Cochin,,Industrial Area,8.2,5.8,,57,,
147,June - M061990,6,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.4,6.2,,,,
148,June - M061990,6,1990,Kerala,Cochin,,"Residential, Rural and other Areas",8.6,3.4,,,,
149,June - M061990,6,1990,Kerala,Cochin,,Industrial Area,9.8,6.8,,54,,
147,July - M071990,7,1990,Kerala,Cochin,,"Residential, Rural and other Areas",7,8,,121,,
148,July - M071990,7,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.9,3.4,,59,,
149,July - M071990,7,1990,Kerala,Cochin,,Industrial Area,14.3,4.8,,47,,
31,July - M071990,7,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.3,14.2,,60,,
29,July - M071990,7,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3,8.3,,137,,
30,July - M071990,7,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.5,61,,73,,
105,July - M071990,7,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.9,27.3,,283,,
32,July - M071990,7,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.8,30.4,,95,,
147,August - M081990,8,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.4,6.7,,117,,
148,August - M081990,8,1990,Kerala,Cochin,,"Residential, Rural and other Areas",7,3.3,,61,,
149,August - M081990,8,1990,Kerala,Cochin,,Industrial Area,30.3,5,,53,,
31,August - M081990,8,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.2,19.6,,58,,
29,August - M081990,8,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,8.8,10.6,,183,,
30,August - M081990,8,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.9,27.3,,97,,
105,August - M081990,8,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.1,53.2,,218,,
32,August - M081990,8,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.1,22.1,,156,,
147,September - M091990,9,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.2,6.5,,110,,
148,September - M091990,9,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.1,4.3,,60,,
149,September - M091990,9,1990,Kerala,Cochin,,Industrial Area,15,4.9,,43,,
31,September - M091990,9,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.2,8,,57,,
105,September - M091990,9,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.2,13.1,,202,,
32,September - M091990,9,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.9,8.7,,149,,
147,October - M101990,10,1990,Kerala,Cochin,,"Residential, Rural and other Areas",8.6,12.1,,114,,
148,October - M101990,10,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.4,4.2,,63,,
149,October - M101990,10,1990,Kerala,Cochin,,Industrial Area,7.7,6.8,,50,,
31,October - M101990,10,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.2,15.9,,105,,
29,October - M101990,10,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,7,10,,127,,
30,October - M101990,10,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.5,18,,115,,
32,October - M101990,10,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.7,14.1,,118,,
105,October - M101990,10,1990,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.6,12.4,,179,,
147,November - M111990,11,1990,Kerala,Cochin,,"Residential, Rural and other Areas",21.6,20.8,,161,,
148,November - M111990,11,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.5,3.5,,113,,
148,December - M121990,12,1990,Kerala,Cochin,,"Residential, Rural and other Areas",6.1,3.9,,110,,
147,December - M121990,12,1990,Kerala,Cochin,,"Residential, Rural and other Areas",18.6,27.5,,189,,
149,December - M121990,12,1990,Kerala,Cochin,,Industrial Area,8.2,5.4,,95,,
148,January - M011991,1,1991,Kerala,Cochin,,"Residential, Rural and other Areas",6,3.7,,110,,
147,January - M011991,1,1991,Kerala,Cochin,,"Residential, Rural and other Areas",21,25.7,,199,,
149,January - M011991,1,1991,Kerala,Cochin,,Industrial Area,9.6,5.8,,95,,
29,January - M011991,1,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.6,10.3,,117,,
30,January - M011991,1,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.7,15.6,,162,,
31,January - M011991,1,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,9.8,17.6,,128,,
32,January - M011991,1,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.6,9.3,,119,,
105,January - M011991,1,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.8,18.2,,187,,
187,January - M011991,1,1991,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",,,,231,,
148,February - M021991,2,1991,Kerala,Cochin,,"Residential, Rural and other Areas",6.9,6.4,,,,
149,February - M021991,2,1991,Kerala,Cochin,,Industrial Area,8.1,5.2,,,,
147,February - M021991,2,1991,Kerala,Cochin,,"Residential, Rural and other Areas",15.1,32.8,,,,
29,February - M021991,2,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.9,2.9,,130,,
30,February - M021991,2,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.8,4.7,,59,,
31,February - M021991,2,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.5,2.5,,74,,
32,February - M021991,2,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.9,2,,71,,
105,February - M021991,2,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.1,14.1,,72,,
187,February - M021991,2,1991,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",,,,232,,
148,March - M031991,3,1991,Kerala,Cochin,,"Residential, Rural and other Areas",5.9,6.1,,,,
149,March - M031991,3,1991,Kerala,Cochin,,Industrial Area,7.3,7,,,,
147,March - M031991,3,1991,Kerala,Cochin,,"Residential, Rural and other Areas",7.2,19.9,,,,
29,March - M031991,3,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.7,12.1,,103,,
31,March - M031991,3,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,7.6,18.7,,79,,
32,March - M031991,3,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,10.3,21,,80,,
105,March - M031991,3,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,10.1,18.5,,95,,
187,March - M031991,3,1991,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",,,,160,,
148,April - M041991,4,1991,Kerala,Cochin,,"Residential, Rural and other Areas",8.8,4.3,,,,
149,April - M041991,4,1991,Kerala,Cochin,,Industrial Area,8.6,6.5,,,,
147,April - M041991,4,1991,Kerala,Cochin,,"Residential, Rural and other Areas",13.7,22.5,,,,
29,April - M041991,4,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.1,17.8,,86,,
30,April - M041991,4,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,6.6,14.2,,41,,
31,April - M041991,4,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.1,18.4,,47,,
32,April - M041991,4,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.3,21,,64,,
105,April - M041991,4,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.8,36,,1347,,
187,April - M041991,4,1991,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",,,,149,,
188,April - M041991,4,1991,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,4.8,60.4,,557,,
29,May - M051991,5,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,11.7,60.3,,98,,
30,May - M051991,5,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.5,60.2,,48,,
31,May - M051991,5,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,9.7,60.7,,43,,
32,May - M051991,5,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3,10.8,,59,,
105,May - M051991,5,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,5.4,49.8,,106,,
147,May - M051991,5,1991,Kerala,Cochin,,"Residential, Rural and other Areas",21.2,15.9,,189,,
148,May - M051991,5,1991,Kerala,Cochin,,"Residential, Rural and other Areas",6.4,4.1,,107,,
149,May - M051991,5,1991,Kerala,Cochin,,Industrial Area,8.7,8.7,,75,,
185,May - M051991,5,1991,Kerala,Kozhikode,Kerala Pollution Control Board,,6.6,20.9,,121,,
186,May - M051991,5,1991,Kerala,Kozhikode,Kerala Pollution Control Board,,12.5,33.3,,277,,
187,May - M051991,5,1991,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",0.5,20.2,,157,,
29,June - M061991,6,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.9,18.2,,109,,
30,June - M061991,6,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.7,15.8,,54,,
31,June - M061991,6,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.5,18.1,,80,,
32,June - M061991,6,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.9,14.7,,48,,
105,June - M061991,6,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.6,51.6,,60,,
181,June - M061991,6,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,3.1,10.4,,74,,
147,June - M061991,6,1991,Kerala,Cochin,,"Residential, Rural and other Areas",6.3,10.3,,32,,
148,June - M061991,6,1991,Kerala,Cochin,,"Residential, Rural and other Areas",10,4.5,,64,,
149,June - M061991,6,1991,Kerala,Cochin,,Industrial Area,9.1,4.8,,49,,
179,June - M061991,6,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,1.9,6.5,,103,,
180,June - M061991,6,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,4.6,6,,112,,
182,June - M061991,6,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,2.6,10.2,,86,,
185,June - M061991,6,1991,Kerala,Kozhikode,Kerala Pollution Control Board,,9.8,12.2,,138,,
186,June - M061991,6,1991,Kerala,Kozhikode,Kerala Pollution Control Board,,4.5,25.1,,208,,
187,June - M061991,6,1991,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",1.8,14.7,,113,,
188,June - M061991,6,1991,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,0.5,30.1,,168,,
29,July - M071991,7,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.2,21.8,,55,,
30,July - M071991,7,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.8,23.3,,48,,
31,July - M071991,7,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.7,16.7,,50,,
32,July - M071991,7,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.5,22.2,,34,,
105,July - M071991,7,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3,32.8,,55,,
179,July - M071991,7,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,0.6,9.1,,67,,
180,July - M071991,7,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,3.3,5.2,,63,,
181,July - M071991,7,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,3.9,9.5,,75,,
182,July - M071991,7,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,2.7,3.5,,78,,
147,July - M071991,7,1991,Kerala,Cochin,,"Residential, Rural and other Areas",14.7,14.3,,164,,
148,July - M071991,7,1991,Kerala,Cochin,,"Residential, Rural and other Areas",14.2,4.8,,81,,
149,July - M071991,7,1991,Kerala,Cochin,,Industrial Area,10.8,4,,108,,
185,July - M071991,7,1991,Kerala,Kozhikode,Kerala Pollution Control Board,,10.5,7.9,,201,,
186,July - M071991,7,1991,Kerala,Kozhikode,Kerala Pollution Control Board,,13.4,11.6,,253,,
187,July - M071991,7,1991,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",0.5,13.5,,142,,
188,July - M071991,7,1991,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,0.5,11,,148,,
29,August - M081991,8,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.8,11,,86,,
30,August - M081991,8,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3,6.6,,84,,
31,August - M081991,8,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.9,8.2,,62,,
32,August - M081991,8,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.5,7.1,,69,,
105,August - M081991,8,1991,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,4.1,15.4,,210,,
179,August - M081991,8,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,0.9,4.2,,54,,
180,August - M081991,8,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,4.7,4.9,,68,,
181,August - M081991,8,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,1.6,8.2,,57,,
182,August - M081991,8,1991,Kerala,Trivendrum,Kerala Pollution Control Board,,1.2,3.9,,51,,
147,August - M081991,8,1991,Kerala,Cochin,,"Residential, Rural and other Areas",12.6,17.8,,113,,
